Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
AON,Financial Services,Insurance Brokers,6.5,27.1,9.4,39.2,17.1,-28.4,-5.52,-9.12,-12.84,16.86,17.47,24.32,0.45,0.62,6.91,4.71,14.09,67.98,17.49,17.18,26.09,23.81,-0.0978,-0.0048,False,False,True
APA,Energy,Oil & Gas E&P,-11.9,32.2,-8.4,78.4,16.9,59.9,16.04,46.85,119.44,36.41,8.54,15.24,0.11,0.19,2.0,2.16,3.47,12.91,8.37,8.92,51.26,46.43,-2.1882,-0.5041,False,False,False
APO,Financial Services,Asset Management,-9.2,,22.7,-23.7,-48.7,-378.7,20.29,-2.15,-1.63,16.02,81.74,62.37,-3.45,-2.63,3.96,2.96,,73.51,31.29,32.05,39.59,35.1,0.8217,1.3176,False,True,True
AAPL,Technology,Consumer Electronics,16.6,21.8,6.4,19.5,-22.7,-29.7,18.16,10.59,56.91,65.65,37.61,44.94,1.93,2.3,43.05,10.2,28.79,4589.95,451.44,416.16,21.78,22.08,0.88,0.9552,False,False,True
AMAT,Technology,Semiconductor Equipment & Materials,11.4,33.5,4.4,-2.5,12.8,38.5,20.97,76.96,184.03,108.75,42.18,41.13,-16.87,-16.45,14.93,12.27,38.39,357.03,29.02,28.37,51.3,45.82,2.5093,2.2902,False,True,False
APP,Communication Services,Advertising Agencies,59.0,113.1,70.0,111.0,11.1,9.4,38.55,-3.8,56.13,615.09,49.25,103.92,0.44,0.94,85.36,32.87,41.59,201.53,6.16,5.48,68.57,70.86,1.4455,2.2841,False,False,False
APTV,Consumer Cyclical,Auto Parts,5.4,,3.5,-90.8,-1.3,37.0,-12.14,-17.25,-6.49,-21.9,36.8,3.39,-0.41,-0.04,1.46,0.99,6.43,13.47,20.66,20.4,47.45,37.22,1.3448,1.4377,False,True,False
ACGL,Financial Services,Insurance - Diversified,-3.3,94.6,14.0,2.0,-8.1,-15.4,-10.28,-2.67,-3.75,-6.1,7.03,7.17,3.52,3.58,1.36,1.59,5.34,31.68,19.78,19.29,20.83,20.95,0.1293,-0.1007,False,False,True
ADM,Consumer Defensive,Farm Products,1.6,0.9,-6.2,-40.1,10.4,-34.6,15.74,34.13,70.69,43.04,35.42,21.22,-0.88,-0.53,1.69,0.61,19.26,38.58,80.58,80.27,29.33,26.81,-0.1002,-0.029,False,True,True
ARES,Financial Services,Asset Management,28.3,770.5,44.2,13.7,-7.2,162.8,12.66,-19.41,-21.03,-5.97,58.6,66.63,4.28,4.86,11.07,7.94,34.02,41.56,5.91,5.6,46.35,40.46,1.388,1.6929,False,False,False
ANET,Technology,Computer Hardware,35.1,25.0,28.6,23.1,8.9,7.0,20.09,21.2,79.77,101.45,52.99,65.23,2.29,2.82,14.5,18.86,43.23,195.51,9.71,9.01,60.46,52.64,1.8975,2.0962,False,False,False
AJG,Financial Services,Insurance Brokers,34.6,16.2,20.7,2.1,31.1,444.0,-11.34,-17.18,-40.14,-15.88,32.79,33.48,15.61,15.94,2.19,4.51,16.19,52.07,14.2,13.94,28.43,27.57,-0.0346,0.0121,False,False,False
AIZ,Financial Services,Insurance - Property & Casualty,11.3,91.2,7.9,14.8,2.1,21.7,5.93,10.19,25.67,50.91,12.92,14.83,0.87,1.0,2.09,0.95,7.65,12.26,13.16,12.81,22.0,24.57,0.5647,0.4515,False,False,False
T,Communication Services,Telecom Services,2.9,-11.3,2.7,100.5,9.0,-59.3,-10.24,-1.38,-5.16,59.58,8.18,16.4,0.08,0.16,1.58,2.68,7.62,172.87,126.53,125.65,24.02,21.53,-0.3524,-0.2606,True,False,True
ATO,Utilities,Utilities - Regulated Gas,0.6,14.5,12.9,14.9,46.2,44.4,-6.98,1.9,14.61,62.64,21.68,24.91,1.46,1.67,1.94,7.86,15.11,28.88,4.88,4.7,16.74,15.26,0.0476,0.0214,False,False,False
ADSK,Technology,Software - Application,19.4,6.3,17.5,1.1,5.6,-7.9,-2.43,-21.03,-18.87,15.56,45.29,45.79,41.17,41.63,16.78,7.07,26.75,50.88,7.21,7.21,36.01,31.23,0.3453,0.7589,False,False,True
ADP,Technology,Software - Application,7.0,10.5,7.1,8.7,10.8,28.0,3.12,-12.79,-30.46,-4.1,20.49,22.27,2.36,2.56,13.87,4.12,14.05,87.89,21.6,20.56,30.69,23.6,-0.292,0.2627,False,False,False
AZO,Consumer Cyclical,Auto Parts,8.4,7.7,2.4,-6.2,-7.7,-11.7,-22.55,-23.81,-18.5,9.78,21.23,19.91,-3.42,-3.21,,3.09,14.46,49.22,19.99,18.94,35.18,26.94,0.9551,0.2792,False,True,True
AVB,Real Estate,REIT - Residential,2.5,40.3,4.4,-2.8,0.3,97.7,4.4,5.02,-6.79,5.12,23.1,22.45,-8.25,-8.02,2.23,11.54,19.12,26.22,3.06,3.04,20.75,20.0,0.5133,0.4438,False,True,False
AVY,Consumer Cyclical,Packaging & Containers,7.0,4.3,1.1,-2.4,1.2,1.0,-16.92,-5.6,-8.36,-24.55,18.09,17.66,-7.54,-7.36,5.37,1.76,10.96,12.33,9.01,8.86,24.93,23.3,1.1001,0.6255,False,True,False
AXON,Industrials,Aerospace & Defense,33.7,89.8,33.5,-66.9,1.3,500.0,-23.2,-17.61,-39.84,54.59,158.6,52.5,-2.37,-0.78,10.02,12.24,354.98,35.41,2.98,2.78,62.15,54.77,1.1255,1.1722,False,True,False
BKR,Energy,Oil & Gas Equipment & Services,2.5,132.5,-0.3,-13.1,-10.8,6.2,0.15,29.93,76.2,110.92,20.22,17.57,-1.54,-1.34,3.32,2.32,13.4,64.2,27.89,27.73,36.84,32.4,0.625,0.7685,False,True,False
BALL,Consumer Cyclical,Packaging & Containers,16.3,21.9,11.6,-77.2,7.6,2.5,-15.33,15.05,6.57,-13.11,16.49,3.76,-0.21,-0.05,2.67,1.64,10.93,14.97,13.67,13.16,28.03,25.92,1.0043,0.3489,False,True,False
BAC,Financial Services,Banks - Diversified,8.1,24.4,6.8,13.1,-2.9,14.0,2.5,-3.6,17.34,37.38,12.66,14.32,0.97,1.09,1.31,3.05,,360.29,109.59,113.1,22.95,21.28,0.821,0.928,False,False,False
BAX,Healthcare,Medical Instruments & Supplies,2.9,,5.7,47.5,-9.2,-98.7,,,-36.44,-39.64,,,,,1.65,1.55,9.21,9.94,11.32,11.24,40.83,46.28,1.7424,1.3569,False,False,True
BDX,Healthcare,Medical Instruments & Supplies,5.2,,8.2,-1.6,-10.2,-181.4,-15.4,-0.42,11.16,-12.65,25.9,25.49,-16.19,-15.93,1.69,2.58,9.32,40.89,22.23,21.84,25.17,24.96,0.5364,0.5719,False,True,True
BRK-B,Financial Services,Insurance - Diversified,4.4,119.6,-3.2,-24.8,-17.4,-47.4,-0.57,-6.12,-5.68,18.15,14.21,10.69,-0.57,-0.43,0.0,-0.71,-2.25,1029.73,375.39,410.52,16.02,14.33,0.1703,0.1276,False,True,True
BBY,Consumer Cyclical,Specialty Retail,-1.0,372.5,0.4,15.3,42.8,286.4,23.2,-0.47,19.05,14.63,14.83,17.1,0.97,1.12,5.27,0.38,6.05,15.75,41.69,41.69,46.61,37.42,0.2159,1.0358,False,False,False
TECH,Healthcare,Biotechnology,-1.5,128.6,5.2,-56.3,5.3,34.3,-11.91,-20.01,5.83,-34.6,72.63,31.74,-1.29,-0.56,3.94,6.64,21.95,7.96,1.21,1.22,58.53,45.53,0.7057,1.0486,False,True,False
BIIB,Healthcare,Drug Manufacturers - General,1.9,31.1,2.2,-20.8,8.7,-500.0,4.43,10.47,47.94,-8.4,21.12,16.73,-1.02,-0.8,1.55,3.15,8.89,28.99,9.94,9.89,33.66,33.12,0.4122,0.4259,False,True,True
BLK,Financial Services,Asset Management,27.0,45.9,18.7,-12.8,-4.4,96.3,-1.5,1.68,9.4,44.43,26.96,23.51,-2.11,-1.84,2.87,6.67,16.53,162.45,25.64,24.22,30.29,25.34,1.529,1.3203,False,True,False
BX,Financial Services,Asset Management,5.7,3.9,13.5,8.7,-19.6,-36.0,1.64,-18.98,-13.34,6.42,29.7,32.28,3.41,3.71,10.9,8.13,,141.95,14.4,12.41,39.07,33.48,1.3828,1.4914,False,False,True
XYZ,Technology,Software - Infrastructure,4.9,,0.3,-54.9,-3.1,-366.7,15.36,15.54,19.61,13.41,55.9,25.21,-1.02,-0.46,2.02,1.84,28.58,44.25,24.48,24.19,53.38,46.28,1.8793,2.0688,False,True,True
BNY,Financial Services,Banks - Diversified,13.4,41.8,8.2,22.5,4.5,11.7,18.12,26.77,60.77,154.29,17.33,21.23,0.77,0.94,2.45,-3.13,,96.48,20.75,19.76,18.37,19.7,0.7215,0.8639,False,False,False
BA,Industrials,Aerospace & Defense,14.0,,34.5,-118.9,-7.2,-100.0,-0.42,22.7,9.9,33.28,88.33,-16.69,-0.74,0.14,30.14,2.28,-64.37,180.35,92.18,89.46,37.43,31.41,1.6276,1.1141,False,True,True
BKNG,Consumer Cyclical,Travel Services,16.2,240.0,13.4,-8.1,-12.9,-24.2,1.8,-12.85,-22.25,15.52,22.4,20.59,-2.77,-2.54,,4.87,12.98,131.59,27.69,26.92,39.07,31.82,0.7252,0.9761,False,True,True
BSX,Healthcare,Medical Devices,11.6,100.0,19.9,56.3,-1.6,99.6,-35.57,-51.38,-53.0,-34.5,20.55,32.12,0.37,0.57,2.82,4.02,15.06,72.99,20.61,20.07,47.14,34.76,0.5764,0.2612,False,False,False
BMY,Healthcare,Drug Manufacturers - General,2.6,9.2,-0.2,-178.8,-8.1,146.3,-7.77,18.29,24.88,55.75,16.12,-12.7,-0.09,0.07,5.79,3.14,8.02,116.21,48.48,48.2,25.04,26.45,0.5311,0.3734,False,True,False
AVGO,Technology,Semiconductors,29.5,31.6,23.9,292.3,7.2,-13.7,34.08,10.93,77.72,213.01,82.03,321.8,0.28,1.1,25.29,30.34,55.66,2019.71,68.28,63.89,41.05,42.64,1.9273,2.0744,False,False,True
BR,Technology,Information Technology Services,7.8,15.1,5.9,20.3,14.0,-2.9,-19.28,-33.27,-36.46,-20.27,15.73,18.92,0.77,0.93,6.15,2.79,11.59,17.32,7.32,6.89,29.24,24.7,-0.0015,0.1345,False,False,True
BRO,Financial Services,Insurance Brokers,35.7,-7.9,22.5,6.1,19.0,61.4,-21.22,-29.62,-48.66,-33.2,18.51,19.64,3.03,3.22,1.51,4.22,10.62,19.27,6.26,5.76,30.52,28.01,-0.1129,-0.0307,True,False,False
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,2.0,1.3,-4.9,-15.1,1.9,19.2,-9.19,-11.15,-21.3,-38.03,15.09,12.81,-1.0,-0.85,2.92,3.65,11.8,11.91,3.91,3.98,52.33,42.32,0.0649,0.2546,False,True,False
BLDR,Industrials,Building Products & Equipment,-10.1,,-7.4,-59.6,-2.1,-250.6,-22.82,-32.21,-29.57,-50.81,29.62,11.97,-0.5,-0.2,2.06,0.91,11.13,8.25,14.82,15.19,50.24,48.3,2.0978,1.6418,False,True,True
BG,Consumer Defensive,Farm Products,87.8,-76.4,32.4,-28.2,-8.0,-28.4,3.18,29.81,60.54,23.8,31.88,22.89,-1.13,-0.81,1.5,0.5,17.91,24.0,80.55,70.33,28.07,31.09,-0.2407,0.0751,True,True,True
BXP,Real Estate,REIT - Office,0.6,65.5,2.2,1839.5,-0.6,-59.1,9.28,-13.73,-7.66,17.64,30.47,590.97,0.02,0.32,1.87,8.89,17.59,10.81,3.16,3.48,28.27,28.14,0.9454,0.9385,False,False,True
CHRW,Industrials,Integrated Freight & Logistics,-0.8,9.9,-8.4,26.1,2.6,8.0,-6.0,10.23,85.99,118.25,35.51,44.78,1.36,1.72,12.16,1.37,24.97,20.68,16.2,16.23,39.87,42.05,0.8781,0.7961,False,False,False
CDNS,Technology,Software - Application,18.7,23.0,14.1,5.1,2.4,-13.5,23.24,20.74,31.41,28.16,86.94,91.37,17.05,17.92,15.72,18.93,51.96,103.11,5.53,5.3,38.51,36.33,1.4311,1.5682,False,False,True
CPT,Real Estate,REIT - Residential,-0.5,12.1,1.9,135.4,-0.5,-72.8,-0.07,4.0,-3.83,17.16,30.17,71.02,0.22,0.52,2.79,9.81,18.5,10.7,1.58,1.57,19.71,19.04,0.3958,0.2976,False,False,True
CPB,Consumer Defensive,Packaged Foods,-4.5,-17.2,6.4,6.2,-4.2,-25.3,-19.57,-29.75,-35.55,-47.46,11.12,11.81,1.79,1.9,1.55,1.3,7.47,6.2,10.04,10.25,31.14,28.87,-0.0594,-0.1624,True,False,True
COF,Financial Services,Credit Services,46.3,-3.2,36.6,-48.4,-1.1,1.9,-3.34,-14.44,-0.52,41.85,58.08,29.97,-1.2,-0.62,1.08,2.71,,116.38,36.31,53.43,29.75,30.74,1.1624,1.4858,True,True,False
CAH,Healthcare,Medical Distribution,11.0,-19.5,-1.9,83.2,-7.1,-14.6,-12.85,-3.45,31.25,113.98,30.46,55.8,0.37,0.67,,0.21,13.01,46.81,250.74,222.58,25.62,29.81,0.2775,-0.0364,True,False,True
CCL,Consumer Cyclical,Travel Services,6.1,,6.4,44.1,-2.6,-38.9,-3.53,8.91,21.94,85.55,12.31,17.74,0.28,0.4,2.97,2.37,8.81,38.7,26.98,26.62,59.86,46.57,3.0538,2.281,False,False,True
CARR,Industrials,Building Products & Equipment,2.4,-40.7,-3.3,-73.5,10.4,349.1,0.31,18.55,-9.33,3.92,42.83,11.35,-0.58,-0.15,3.94,2.95,20.55,53.0,21.87,21.75,45.82,34.37,1.671,1.2711,True,True,False
CVNA,Consumer Cyclical,Auto & Truck Dealerships,52.0,11.9,48.6,570.0,14.8,-70.8,13.72,-2.08,14.95,249.79,42.48,284.62,0.07,0.5,14.12,2.5,24.03,80.61,22.52,20.32,55.97,59.11,2.3211,2.2587,False,False,True
CASY,Consumer Cyclical,Specialty Retail,0.3,49.8,7.3,8.9,-13.1,-37.0,13.76,37.45,77.97,142.15,45.06,49.07,5.06,5.51,7.5,1.84,22.52,28.95,16.98,15.94,28.84,25.8,0.9473,0.4009,False,False,True
CAT,Industrials,Farm & Heavy Construction Machinery,22.2,30.2,4.3,-17.7,-9.0,6.1,18.22,56.93,155.06,169.69,45.24,37.23,-2.56,-2.1,21.91,6.34,30.82,408.85,70.76,67.59,41.3,33.73,1.8845,1.6066,False,True,False
CBOE,Financial Services,Financial Data & Stock Exchanges,6.5,54.4,15.1,43.8,5.7,23.0,,35.18,52.28,98.34,29.68,42.68,0.68,0.97,6.71,7.4,19.89,36.03,4.79,4.71,32.76,23.32,-0.1151,-0.1855,False,False,False
CBRE,Real Estate,Real Estate Services,18.6,98.1,13.4,19.5,-9.5,-23.6,-12.8,-20.66,1.4,46.86,28.8,34.42,1.48,1.77,4.35,1.11,21.24,37.02,42.2,40.55,27.61,30.27,0.9319,1.0172,False,False,True
CDW,Technology,Information Technology Services,9.2,7.7,6.8,-1.0,3.1,-15.8,-6.35,-17.89,-35.07,-45.65,13.91,13.77,-13.91,-13.77,5.82,0.89,10.29,14.84,22.9,22.42,51.97,37.29,-0.0121,0.8349,False,True,True
COR,Healthcare,Medical Distribution,3.8,128.3,9.3,3.0,-8.8,193.3,-28.0,-25.36,-7.21,24.19,20.5,21.12,6.83,7.04,15.33,0.2,12.3,52.09,328.68,321.33,41.67,30.11,0.0012,-0.012,False,False,False
CNC,Healthcare,Healthcare Plans,5.1,18.3,19.4,-301.9,0.4,-240.0,32.09,55.48,4.23,-16.44,,,,,1.36,0.12,7.51,29.09,178.33,194.78,59.01,64.2,0.3489,0.3062,False,True,True
CNP,Utilities,Utilities - Regulated Electric,1.9,6.7,8.3,3.2,18.8,19.7,-2.05,9.09,16.33,50.96,25.9,26.73,8.09,8.35,2.41,5.43,13.95,27.62,9.41,9.36,17.99,15.92,-0.0046,-0.0548,False,False,False
CF,Basic Materials,Agricultural Inputs,19.4,115.1,19.3,19.5,6.1,52.2,12.15,47.37,32.06,58.1,10.49,12.54,0.54,0.64,3.35,3.02,6.51,17.9,7.41,7.08,63.23,41.86,-2.7942,-0.9595,False,False,False
CRL,Healthcare,Diagnostics & Research,1.2,,-0.9,-1501.7,0.2,-94.6,1.53,2.98,31.69,-14.25,,,,,2.97,2.89,13.1,8.73,4.03,4.02,54.36,44.91,1.6908,1.4965,False,True,True
SCHW,Financial Services,Capital Markets,15.8,38.6,22.0,49.0,2.3,0.8,-10.3,-7.28,-1.51,24.27,16.97,25.29,0.35,0.52,3.49,4.76,,148.44,24.8,23.92,27.68,23.82,0.4089,0.6909,False,False,False
CHTR,Communication Services,Telecom Services,-1.0,8.9,-0.6,-1.9,-0.0,-12.7,-36.74,-25.23,-62.8,-45.73,3.98,3.9,-2.09,-2.05,1.11,2.18,5.42,20.79,54.64,54.77,67.15,48.12,-0.0675,0.334,False,True,True
CVX,Energy,Oil & Gas Integrated,2.3,-44.5,-4.6,-30.4,3.9,-20.2,-2.58,22.27,38.28,27.06,31.83,22.15,-1.05,-0.73,1.97,2.19,10.76,364.52,185.74,184.43,27.14,22.11,-1.0507,-0.2986,True,True,True
CMG,Consumer Cyclical,Restaurants,7.4,-17.9,5.4,0.1,3.5,-8.5,-11.64,-5.32,-34.81,-47.25,30.02,30.05,300.2,300.5,17.33,3.79,19.95,41.59,12.14,11.93,32.45,38.08,1.0497,1.0908,True,False,True
CB,Financial Services,Insurance - Property & Casualty,10.2,78.7,6.7,11.2,-3.2,-27.7,-7.47,7.92,8.18,23.28,11.34,12.61,1.01,1.13,1.66,2.4,10.11,122.65,60.99,59.78,16.33,17.37,0.0119,-0.0903,False,False,True
CHD,Consumer Defensive,Household & Personal Products,0.2,2.2,1.6,25.9,-10.6,50.7,-5.77,16.16,0.78,-3.16,32.22,40.56,1.24,1.57,5.52,4.03,18.02,23.13,6.21,6.2,21.69,21.32,0.4067,0.0314,False,False,False
CIEN,Technology,Communication Equipment,33.1,232.3,18.8,46.9,5.6,500.0,61.19,183.78,599.18,1055.61,370.25,543.9,7.89,11.6,28.88,15.79,141.82,80.62,5.12,4.77,78.77,64.89,2.7042,2.6976,False,False,False
CI,Healthcare,Healthcare Plans,4.6,29.1,11.7,73.5,277.4,168.1,-1.7,5.09,-6.96,-11.29,2.51,4.35,0.03,0.06,1.78,0.35,7.36,75.21,277.89,274.88,27.15,32.8,0.457,0.4968,False,False,False
CINF,Financial Services,Insurance - Property & Casualty,11.6,,11.4,4.4,-7.4,-59.5,-5.32,-2.56,9.14,46.32,9.14,9.54,2.08,2.17,1.57,1.89,6.68,24.75,12.93,12.63,19.22,19.42,0.3397,0.3433,False,False,True
CTAS,Industrials,Specialty Business Services,8.9,9.7,7.7,15.3,1.5,1.4,-13.92,-6.2,-22.27,6.12,35.83,41.31,2.34,2.7,14.46,6.53,24.79,69.25,11.03,10.34,24.08,19.38,0.5961,0.4782,False,False,False
CSCO,Technology,Communication Equipment,12.0,37.1,5.3,-1.4,3.2,6.2,50.19,57.71,92.5,171.3,39.81,39.25,-28.44,-28.04,9.6,7.97,28.46,467.61,60.75,56.65,38.25,29.48,0.7316,0.9647,False,True,False
C,Financial Services,Banks - Diversified,15.9,56.1,5.6,12.8,25.4,134.1,12.4,22.64,68.82,112.58,15.41,17.38,1.2,1.36,1.11,0.04,,212.65,78.73,85.21,30.5,27.8,1.3604,1.4712,False,False,False
CFG,Financial Services,Banks - Regional,13.8,46.8,5.6,21.3,0.5,-2.1,2.9,15.98,60.03,96.02,14.93,18.11,0.7,0.85,1.11,3.51,,26.39,7.89,8.25,26.43,25.95,1.0591,1.2488,False,False,True
CLX,Consumer Defensive,Household & Personal Products,0.1,2.7,0.2,189.3,-0.2,19.1,-23.18,-7.44,-23.25,-18.99,15.8,45.71,0.08,0.24,,2.23,11.84,11.63,6.76,7.1,36.49,26.75,0.8894,0.3899,False,False,False
CME,Financial Services,Financial Data & Stock Exchanges,14.4,21.3,6.4,15.5,14.0,-2.4,-12.99,2.28,0.76,46.37,23.81,27.5,1.54,1.77,3.77,15.09,21.23,100.24,6.74,6.52,23.1,19.49,-0.3036,-0.2614,False,False,True
CMS,Utilities,Utilities - Regulated Electric,11.6,8.9,13.6,6.8,22.3,17.6,-5.56,1.54,8.41,28.6,20.55,21.95,3.02,3.23,2.45,4.8,13.88,22.6,8.82,8.54,17.72,15.49,0.1198,0.0245,False,False,False
KO,Consumer Defensive,Beverages - Non-Alcoholic,12.1,18.2,1.9,23.3,5.5,72.8,0.93,12.53,15.74,38.11,25.61,31.58,1.1,1.36,10.29,7.69,22.67,345.96,49.28,47.94,17.09,15.82,0.118,-0.0991,False,False,False
CTSH,Technology,Information Technology Services,5.8,3.6,7.0,-0.4,1.5,2.2,-14.6,-29.61,-31.82,-15.57,11.68,11.63,-29.2,-29.07,1.69,1.17,6.45,25.47,21.41,21.11,36.47,31.85,-0.0634,0.6144,False,True,False
COHR,Technology,Scientific & Technical Instruments,20.5,,23.4,-131.6,7.1,30.5,26.11,130.55,374.03,549.69,182.1,-57.54,-1.38,0.44,6.9,11.37,57.16,73.75,6.6,5.81,83.98,69.8,3.0929,2.9318,False,True,False
COIN,Financial Services,Financial Data & Stock Exchanges,-30.8,,9.4,-51.1,-20.7,-40.9,-1.61,-29.86,-26.76,-22.99,63.72,31.16,-1.25,-0.61,3.56,7.25,45.43,48.02,6.29,7.18,69.15,69.88,2.6405,3.3205,False,True,True
CL,Consumer Defensive,Household & Personal Products,8.4,-5.9,1.4,-26.2,1.8,-500.0,-5.21,16.08,1.82,5.16,35.39,26.12,-1.35,-1.0,506.41,3.86,16.31,73.35,20.8,20.38,22.67,20.71,0.6529,0.0544,True,True,True
CMCSA,Communication Services,Telecom Services,5.3,-32.6,-0.0,23.5,-2.6,0.3,-17.42,3.37,-18.25,-23.66,4.94,6.1,0.21,0.26,1.02,1.4,4.96,89.88,125.28,123.71,37.79,27.94,0.0704,0.198,True,False,False
FIX,Industrials,Engineering & Construction,1.0,38.8,29.5,95.7,8.3,12.0,29.11,93.18,288.3,452.43,53.42,104.54,0.56,1.09,101.07,6.68,39.02,65.27,10.14,9.1,53.74,53.09,2.5897,2.3413,False,False,False
CAG,Consumer Defensive,Packaged Foods,-1.9,39.0,-3.6,231.9,-6.4,-130.1,-28.48,-20.84,-35.87,-47.61,,,,,0.78,1.22,7.91,6.4,11.18,11.61,32.01,27.88,0.1139,-0.061,False,False,True
COP,Energy,Oil & Gas E&P,-5.3,-20.2,7.7,-13.6,17.7,51.4,-2.03,29.34,38.79,6.3,19.52,16.87,-1.44,-1.24,2.17,2.65,6.73,140.09,59.38,58.94,33.0,29.32,-1.2565,-0.2288,True,True,False
ED,Utilities,Utilities - Regulated Electric,6.2,12.9,10.9,11.2,27.6,211.1,-4.35,10.37,6.24,23.66,17.93,19.94,1.6,1.78,1.53,3.85,11.0,39.17,17.22,16.92,17.0,16.31,-0.1837,-0.3826,False,False,False
STZ,Consumer Defensive,Beverages - Brewers,-11.3,,-10.5,-2172.1,-13.6,-59.9,-8.61,4.45,-18.77,-38.96,14.79,-306.46,-0.01,0.14,3.04,3.93,10.6,24.48,9.14,9.14,31.13,30.08,0.1836,0.2086,False,True,True
CEG,Utilities,Utilities - Independent Power Producers,63.8,1091.0,8.3,-38.1,83.1,268.1,-12.23,-20.03,-5.13,31.26,24.85,15.38,-0.65,-0.4,3.1,4.2,15.75,103.41,29.87,25.53,50.85,46.21,0.9264,1.5316,False,True,False
COO,Healthcare,Medical Instruments & Supplies,6.2,26.9,5.1,-4.4,-3.8,54.6,-27.26,-21.15,-23.66,-33.0,30.22,28.89,-6.87,-6.57,1.42,3.51,13.24,11.91,4.15,4.09,24.45,32.93,0.9867,0.8574,False,True,False
CPRT,Industrials,Specialty Business Services,2.1,2.3,9.7,13.9,-2.9,-13.1,-13.13,-14.99,-35.28,-36.17,20.67,23.54,1.49,1.69,3.27,5.84,13.8,32.06,4.64,4.65,23.57,23.19,0.4075,0.4674,False,False,True
GLW,Technology,Electronic Components,20.0,138.9,19.1,215.4,-1.7,-31.3,,121.12,271.75,436.21,91.94,289.98,0.43,1.35,13.28,10.18,42.53,157.47,16.32,15.63,75.97,52.73,3.0615,2.1947,False,False,True
CPAY,Technology,Software - Infrastructure,25.4,49.1,13.9,6.6,1.0,32.4,6.13,18.94,6.91,33.47,21.1,22.49,3.2,3.41,6.64,6.55,12.28,23.03,4.78,4.53,40.15,37.58,0.9197,1.2467,False,False,False
CTVA,Basic Materials,Agricultural Inputs,11.0,12.1,2.9,20.6,25.4,-230.4,0.1,21.4,16.76,51.68,43.57,52.55,2.12,2.55,2.22,3.1,13.41,53.91,17.89,17.4,23.27,23.09,0.0971,0.2867,False,False,True
CSGP,Real Estate,Real Estate Services,22.5,,18.7,-95.0,-0.3,-93.5,-28.49,-52.51,-56.39,-59.69,461.43,23.07,-4.86,-0.24,1.66,3.86,48.41,13.19,3.41,3.25,37.04,38.51,0.0059,0.613,False,True,True
COST,Consumer Defensive,Discount Stores,21.5,45.5,8.2,9.9,3.4,1.7,-0.61,9.44,-0.79,24.73,52.08,57.24,5.26,5.78,26.7,1.54,32.66,441.52,286.27,275.24,20.11,19.06,-0.1718,0.0118,False,False,False
CRH,Basic Materials,Building Materials,9.1,,5.3,7.9,-21.7,-117.2,-8.66,-10.16,16.93,39.78,19.73,21.29,2.5,2.69,3.09,2.37,11.87,71.34,38.06,37.45,36.87,31.05,1.7699,1.4163,False,False,True
CRWD,Technology,Software - Infrastructure,23.3,,21.7,966.2,5.8,-274.7,74.35,33.1,46.25,91.98,,,,,38.39,34.46,-3553.26,170.79,4.81,4.81,48.46,43.38,0.5647,1.3548,False,False,True
CCI,Real Estate,REIT - Specialty,-4.8,,-4.4,-111.4,-5.7,-48.6,3.01,5.45,-4.95,3.65,38.27,-4.36,-0.34,0.04,,16.52,25.49,39.76,4.21,4.26,29.42,26.18,0.2706,0.3031,False,True,True
CSX,Industrials,Railroads,1.7,26.5,-3.1,-16.7,-0.7,12.1,,,48.02,41.96,28.81,24.0,-1.73,-1.44,6.27,7.31,15.62,85.12,14.15,14.09,26.96,22.34,0.8399,0.6639,False,True,False
CMI,Industrials,Specialty Industrial Machinery,2.7,-21.0,-1.3,-28.0,-1.6,10.3,15.58,35.65,109.13,152.98,34.72,25.0,-1.24,-0.89,7.47,2.9,19.65,92.27,33.89,33.67,39.81,32.3,1.9451,1.6261,True,True,False
CVS,Healthcare,Healthcare Plans,6.1,63.1,7.8,-61.7,-5.0,0.0,14.85,19.54,53.5,87.86,40.25,15.42,-0.65,-0.25,1.53,0.46,12.03,118.62,405.62,402.07,33.72,30.79,0.4403,0.2074,False,True,False
DHR,Healthcare,Diagnostics & Research,3.7,9.8,2.9,-7.3,-13.0,-14.0,-12.13,-19.13,-4.51,-28.6,33.57,31.12,-4.6,-4.26,2.41,5.72,17.88,127.84,24.78,24.57,29.25,27.64,0.9095,0.7573,False,True,True
DRI,Consumer Cyclical,Restaurants,5.9,-3.3,6.0,2.1,7.8,29.3,-1.82,19.34,-1.4,49.3,21.68,22.14,10.32,10.54,11.15,2.46,15.6,23.42,12.76,12.08,26.88,24.73,0.5947,0.4056,True,False,False
DDOG,Technology,Software - Application,32.2,104.0,27.7,-41.4,5.6,12.9,102.72,42.65,92.51,85.11,549.37,321.93,-13.27,-7.78,20.1,20.89,2214.35,80.18,3.67,3.43,78.08,63.28,0.4474,1.2462,False,True,False
