Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
WRB,Financial Services,Insurance - Property & Casualty,4.0,26.0,6.9,1.3,-0.2,14.6,-12.21,-10.37,-10.74,30.17,13.62,13.8,10.48,10.62,2.46,1.66,9.58,23.94,14.85,14.64,21.59,20.95,-0.04,-0.0396,False,False,False
GWW,Industrials,Industrial Distribution,10.1,18.2,4.5,-10.6,7.2,23.1,8.48,32.54,15.89,39.29,33.56,30.0,-3.17,-2.83,14.99,3.34,19.9,58.89,18.38,17.94,24.08,24.81,0.7887,0.8759,False,True,False
WAB,Industrials,Railroads,13.0,12.8,7.5,10.8,-0.5,79.2,-0.82,25.49,30.3,57.48,36.89,40.87,3.42,3.78,4.0,4.41,20.14,44.32,11.51,11.17,29.4,23.4,1.4149,1.1236,False,False,False
WMT,Consumer Defensive,Discount Stores,7.3,19.4,4.7,12.6,,18.8,-6.08,7.25,23.47,86.58,41.87,47.15,3.32,3.74,9.51,1.4,22.6,947.75,725.3,713.16,27.06,23.41,0.3337,0.0453,False,False,False
DIS,Communication Services,Entertainment,6.5,-29.8,3.4,149.5,-3.1,-6.5,-0.58,-2.19,-6.38,4.9,16.68,41.62,0.11,0.28,1.7,2.35,11.58,180.13,97.26,94.42,25.62,24.23,1.0128,0.8962,True,False,True
WBD,Communication Services,Entertainment,-1.0,,-5.1,-106.4,-6.0,500.0,-5.12,13.28,169.32,253.0,,,,,1.87,2.64,12.93,67.79,37.21,37.3,11.05,47.49,0.3299,0.8344,False,True,False
WM,Industrials,Waste Management,3.5,13.3,14.2,-1.4,-1.4,-2.6,-11.44,0.07,-8.46,8.15,31.16,30.72,-22.26,-21.94,8.61,4.28,14.2,86.1,25.41,25.2,20.58,18.43,-0.2835,-0.1853,False,True,True
WAT,Healthcare,Diagnostics & Research,91.4,,7.0,0.8,35.9,-132.0,19.35,-7.82,3.2,11.91,43.5,43.85,54.38,54.81,8.53,10.91,36.25,36.0,3.77,3.17,46.25,38.65,1.3289,0.9829,False,False,True
WEC,Utilities,Utilities - Regulated Electric,9.0,7.9,14.0,2.0,35.4,153.9,-3.42,3.87,8.87,51.59,22.7,23.15,11.35,11.57,2.67,5.86,15.03,36.37,10.08,9.8,17.43,14.91,0.0653,-0.0093,False,False,False
WFC,Financial Services,Banks - Diversified,5.7,15.1,1.7,8.2,0.7,-2.0,-6.65,-9.29,5.13,36.54,11.76,12.72,1.43,1.55,1.44,3.2,,234.56,81.14,83.7,29.42,26.43,0.6466,0.9756,False,False,True
WELL,Real Estate,REIT - Healthcare Facilities,38.3,157.9,35.8,-1.6,5.5,500.0,0.4,3.85,39.49,116.4,101.1,99.48,-63.19,-62.17,3.48,14.01,55.16,148.45,11.77,10.67,23.49,20.49,0.4333,0.1471,False,True,False
WST,Healthcare,Medical Instruments & Supplies,21.0,56.1,6.3,0.2,5.0,5.1,28.18,17.58,53.41,0.3,41.85,41.93,209.25,209.65,7.63,7.0,25.9,22.73,3.22,3.07,38.09,41.36,0.5605,0.8328,False,False,False
WDC,Technology,Computer Hardware,45.5,482.9,50.7,-333.2,10.6,74.0,96.77,225.22,915.17,811.51,31.79,-74.13,-0.1,0.22,25.4,15.42,46.23,183.09,11.78,9.52,67.46,63.43,2.8226,2.4765,False,True,False
WY,Real Estate,REIT - Specialty,-2.0,96.6,-3.1,-18.2,12.1,110.8,0.62,,-2.39,-11.1,43.86,35.88,-2.41,-1.97,1.88,3.33,32.75,17.71,6.87,6.91,24.33,25.6,0.6815,0.4404,False,True,False
WSM,Consumer Cyclical,Specialty Retail,4.4,4.3,1.2,-3.3,-23.4,-37.1,2.52,13.5,26.81,49.97,22.77,22.02,-6.9,-6.67,11.73,3.18,15.18,24.21,7.88,7.81,35.37,33.88,1.3696,1.3787,False,True,True
WMB,Energy,Oil & Gas Midstream,9.0,25.0,13.8,17.7,-5.3,17.8,-3.41,20.87,25.31,95.97,32.5,38.25,1.84,2.16,7.0,9.99,17.74,89.44,12.11,11.95,22.65,22.9,0.047,0.0765,False,False,False
WTW,Financial Services,Insurance Brokers,8.5,33.0,-2.2,-1737.8,-17.8,-59.6,-16.86,-20.96,-19.12,3.35,14.93,-244.52,-0.01,0.14,3.0,2.92,10.46,23.8,9.9,9.71,32.49,27.23,-0.1127,0.0609,False,True,True
WDAY,Technology,Software - Application,13.5,248.0,13.1,31.7,0.4,53.1,-2.98,-39.06,-46.22,-38.55,38.81,51.11,1.22,1.61,4.32,3.2,20.88,32.11,9.85,9.55,54.16,40.68,-0.5677,0.4672,False,False,False
WYNN,Consumer Cyclical,Resorts & Casinos,9.2,50.9,0.1,-34.7,-0.5,20.4,-1.58,-23.15,12.94,12.0,29.09,19.0,-0.84,-0.55,,2.74,11.37,10.54,7.29,7.14,31.98,35.24,1.2574,1.1192,False,True,False
XEL,Utilities,Utilities - Regulated Electric,2.9,6.0,9.1,4.2,12.9,-1.9,-4.72,0.92,17.7,58.93,22.84,23.8,5.44,5.67,2.09,5.88,14.35,49.48,14.78,14.67,21.49,18.61,0.2248,0.0898,False,False,True
XYL,Industrials,Specialty Industrial Machinery,2.7,14.5,5.5,7.5,-11.3,-42.4,-15.3,-21.37,-12.27,-18.94,27.38,29.43,3.65,3.92,2.32,3.02,14.37,25.97,9.09,9.04,25.71,24.25,0.9929,0.911,False,False,True
YUM,Consumer Cyclical,Restaurants,15.2,72.2,8.8,4.9,-18.1,-19.3,-7.46,1.02,6.16,15.77,24.51,25.71,5.0,5.25,,6.34,17.98,41.35,8.49,8.21,21.45,21.61,0.3287,0.1774,False,False,True
ZBRA,Technology,Communication Equipment,14.3,3.8,8.3,-20.6,1.4,92.9,10.71,-1.35,-15.25,-21.78,29.94,23.77,-1.45,-1.15,3.46,2.6,14.18,11.81,5.58,5.4,43.13,41.15,1.2248,1.6643,False,True,False
ZBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
